g_force_x, g_force_y, g_force_z
-0.06713806, 0.15888126, -0.33288527
0.022928169, 0.15375903, -0.35755134
0.08881616, 0.13982527, -0.34633118
0.040002335, 0.15473467, -0.34020278
-0.017104656, 0.16229612, -0.35120952
0.015366751, 0.12640986, -0.35877094
0.08003516, 0.094700634, -0.38560176
0.059546154, 0.085889205, -0.35755134
-0.022470823, 0.12787333, -0.35486826
-0.031007908, 0.14717323, -0.3158111
0.052198168, 0.1337273, -0.2994687
0.12519024, 0.11031134, -0.29873696
0.09784108, 0.09323717, -0.29849303
0.034148335, 0.10738431, -0.29410252
0.017318083, 0.11445793, -0.26650944
0.06564408, 0.11055525, -0.28236404
0.09735324, 0.08933449, -0.28800464
0.07515682, 0.10079861, -0.3182503
0.050978582, 0.1183606, -0.2962978
0.06100966, 0.12250719, -0.28651065
0.10515858, 0.099091135, -0.2992248
0.09954849, 0.07540073, -0.3128841
0.06808324, 0.08662094, -0.31776243
0.032440916, 0.10518911, -0.27626613
0.05783874, 0.11567748, -0.27919313
0.11640924, 0.10104252, -0.2755344
0.14055698, 0.10787213, -0.2660216
0.11275048, 0.11787278, -0.23382463
0.09784108, 0.10738431, -0.25943586
0.12128756, 0.06857113, -0.2850471
0.13226381, 0.05100913, -0.28651065
0.11275048, 0.07320554, -0.25724062
0.08247432, 0.10421346, -0.26211897
0.11104307, 0.11860451, -0.26650944
0.14299615, 0.11787278, -0.2567528
0.1305564, 0.13104427, -0.27163172
0.07442508, 0.14692932, -0.2674851
0.07344941, 0.1466854, -0.2994687
0.12519024, 0.10836005, -0.31434762
0.13811782, 0.09665202, -0.31459153
0.09491407, 0.11055525, -0.29288295
0.07613249, 0.13348338, -0.307274
0.10979299, 0.12982462, -0.3067862
0.12421457, 0.1227511, -0.2923951
0.094670154, 0.11518966, -0.2862667
0.07808383, 0.11372619, -0.30166394
0.107841656, 0.13323948, -0.27529046
0.13884956, 0.14985634, -0.24065429
0.13128814, 0.16497913, -0.2526062
0.11518965, 0.1708332, -0.30776188
0.12933682, 0.16302785, -0.3314218
0.13714215, 0.1598569, -0.3187381
0.10271941, 0.17400405, -0.31434762
0.08418174, 0.18595599, -0.34239805
0.11909231, 0.17571153, -0.3597466
0.17424798, 0.1464415, -0.34877035
0.15446024, 0.1425083, -0.33995888
0.10906124, 0.16010082, -0.33093393
0.06637583, 0.18376078, -0.32190904
0.06393665, 0.19693229, -0.30800578
0.08979183, 0.20623153, -0.3026396
0.12299499, 0.22623274, -0.31629896
0.13006856, 0.24452646, -0.304347
0.1188484, 0.25916153, -0.30995712
0.12836115, 0.23794076, -0.33703187
0.14763057, 0.2018106, -0.3829187
0.13031249, 0.17449187, -0.406853
0.06905891, 0.18034592, -0.43197644
0.047807667, 0.20867074, -0.43539125
0.07344941, 0.23062323, -0.41173133
0.120799735, 0.23989205, -0.396578
0.13909349, 0.24818522, -0.39560238
0.13689823, 0.25745404, -0.39389494
0.1232389, 0.24940477, -0.39096794
0.10369508, 0.23281853, -0.41295093
0.10052416, 0.22525708, -0.41929275
0.09930457, 0.22135441, -0.4007246
0.09954849, 0.1974201, -0.4007246
0.075888574, 0.1840047, -0.4314886
0.06466841, 0.19449307, -0.42587852
0.07076632, 0.20867074, -0.41465837
0.10540249, 0.20379241, -0.43075684
0.11762882, 0.21281733, -0.42831767
0.093450576, 0.23769684, -0.41539007
0.08125474, 0.24647784, -0.43222034
0.09491407, 0.25574666, -0.47200927
0.103451155, 0.2782175, -0.4492945
0.09442624, 0.28529102, -0.4622526
0.05564349, 0.24720958, -0.50396234
0.05905832, 0.20281677, -0.5471661
0.11250656, 0.15668596, -0.55594707
0.12860507, 0.14985634, -0.5322872
0.08247432, 0.19132213, -0.4946935
0.052442085, 0.2386725, -0.45197758
0.07466899, 0.25379527, -0.44124526
0.12226323, 0.24013597, -0.4388061
0.14836231, 0.24233125, -0.441977
0.12445848, 0.2476974, -0.4637161
0.089060076, 0.23696502, -0.48396116
0.07442508, 0.20525588, -0.51591426
0.09588974, 0.1730284, -0.51542646
0.104182914, 0.1730284, -0.5478978
0.12543415, 0.19571263, -0.5757348
0.15714331, 0.23476982, -0.5225305
0.17839457, 0.23842858, -0.50152314
0.16250947, 0.19839574, -0.535702
0.134703, 0.16156428, -0.56911856
0.12128756, 0.14324012, -0.5254575
0.098816745, 0.15058808, -0.53082365
0.08662091, 0.18010202, -0.5354581
0.10125591, 0.25257573, -0.46517956
0.14519139, 0.30529222, -0.4551485
0.18424855, 0.29455984, -0.5051819
0.20059097, 0.26650947, -0.53911686
0.18327288, 0.20034704, -0.5513127
0.1408009, 0.12470239, -0.6011022
0.10954908, 0.09421281, -0.6152493
0.09149925, 0.13519086, -0.5457026
0.10028024, 0.19229788, -0.53375065
0.11052475, 0.2276962, -0.5232622
0.13323948, 0.25550276, -0.45588025
0.14616705, 0.23159887, -0.4170975
0.13397123, 0.19620045, -0.4522215
0.10808557, 0.18912692, -0.44539183
0.095401905, 0.19156604, -0.45197758
0.09296274, 0.18351687, -0.5117677
0.08954791, 0.20132278, -0.53009194
0.10442682, 0.23135497, -0.46078905
0.12421457, 0.21745174, -0.48908344
0.13543473, 0.17424795, -0.55375177
0.11028083, 0.16766226, -0.5410682
0.06930282, 0.1752237, -0.53984857
0.054667823, 0.18912692, -0.5447269
0.086376995, 0.23257452, -0.49737656
0.10369508, 0.26138726, -0.447831
0.10101199, 0.25330746, -0.4917665
0.11250656, 0.20964637, -0.52082306
0.11762882, 0.17546761, -0.48322943
0.09247491, 0.15253937, -0.5198474
0.05808266, 0.15058808, -0.5613132
0.058570486, 0.18205331, -0.49396175
0.08320607, 0.18351687, -0.4856686
0.11128698, 0.18058984, -0.50640154
0.13397123, 0.18985866, -0.43905002
0.15031365, 0.15717378, -0.4551485
0.14226441, 0.11982407, -0.5413121
0.12031189, 0.13494696, -0.5288723
0.10296333, 0.16497913, -0.4622526
0.09442624, 0.19863966, -0.48932734
0.10662207, 0.22281788, -0.49737656
0.11665315, 0.22233005, -0.45831943
0.12616591, 0.18302895, -0.5222866
0.13762997, 0.14912462, -0.56643546
0.16397299, 0.15522249, -0.4917665
0.17693105, 0.1464415, -0.48396116
0.1598264, 0.16522305, -0.50445014
0.11787273, 0.2123295, -0.4166097
0.090767495, 0.21818347, -0.3887727
0.08271824, 0.1930296, -0.44368443
0.09832891, 0.18498033, -0.42002448
0.11909231, 0.17107712, -0.39852935
0.12372673, 0.1864438, -0.43953782
0.14909407, 0.20525588, -0.4241711
0.20132273, 0.18205331, -0.43100074
0.21303074, 0.14839278, -0.5200913
0.17205273, 0.13665433, -0.5315554
0.13006856, 0.14128874, -0.47859502
0.11958014, 0.13055645, -0.49323
0.12153149, 0.13909353, -0.49005908
0.12128756, 0.18376078, -0.42636633
0.14982583, 0.22623274, -0.43417168
0.20498148, 0.23916031, -0.441977
0.25794187, 0.2233057, -0.40856043
0.2625763, 0.18058984, -0.4673748
0.20985982, 0.15278329, -0.5291162
0.1366543, 0.15790561, -0.51006025
0.10467073, 0.15619814, -0.5383851
0.09613366, 0.1425083, -0.57131386
0.098816745, 0.12762941, -0.50079143
0.12055582, 0.099578954, -0.51323116
0.1642169, 0.08466955, -0.5191157
0.1996153, 0.10640866, -0.4027064
0.22720838, 0.14497803, -0.3626736
0.23501371, 0.17546761, -0.3406906
0.2274523, 0.18839519, -0.28529102
0.1966883, 0.17693108, -0.31215236
0.14470357, 0.19229788, -0.34998992
0.11201873, 0.21720782, -0.31971377
0.13445906, 0.21086594, -0.4066091
0.19595656, 0.16327175, -0.538629
0.23281845, 0.12323892, -0.5354581
0.22964753, 0.10299381, -0.54960525
0.20644496, 0.11153089, -0.57131386
0.19449304, 0.16619879, -0.49835226
0.19205388, 0.1993714, -0.4810342
0.18229721, 0.20647544, -0.5142068
0.16714391, 0.20059095, -0.4378304
0.16738781, 0.18376078, -0.40295035
0.17107706, 0.16034472, -0.3919436
0.16470473, 0.16473523, -0.32947046
0.16985749, 0.1598569, -0.36047834
0.21229897, 0.10689648, -0.44587967
0.23086712, 0.09592029, -0.45270932
0.19376132, 0.1268977, -0.4522215
0.15885073, 0.15692987, -0.4632283
0.14299615, 0.18498033, -0.46298432
0.18595596, 0.18766336, -0.53033584
0.24769738, 0.1776628, -0.55692273
0.23403804, 0.2123295, -0.5088407
0.19302955, 0.25306356, -0.5232622
0.18912688, 0.24940477, -0.52082306
0.19327347, 0.2389164, -0.5129872
0.23403804, 0.2145247, -0.5508248
0.27062553, 0.20208494, -0.4632283
0.23550156, 0.22013485, -0.4112435
0.2215678, 0.20818292, -0.4256346
0.23379412, 0.17839454, -0.37608904
0.24111164, 0.14814888, -0.39755368
0.23745286, 0.11201872, -0.41514617
0.21790905, 0.131776, -0.38023558
0.21790905, 0.17278449, -0.39926112
0.24623387, 0.23550156, -0.36901543
0.26160064, 0.291389, -0.34901425
0.30187735, 0.28090054, -0.4742045
0.34117842, 0.24818522, -0.5461904
0.3372453, 0.22818401, -0.56253284
0.33505002, 0.19400525, -0.59549206
0.33822095, 0.15668596, -0.60841966
0.32382986, 0.15253937, -0.6604044
0.3243177, 0.17010137, -0.61183447
0.30212128, 0.21379296, -0.5161886
0.3140732, 0.2320867, -0.48786384
0.3509351, 0.20842682, -0.42807376
0.33358654, 0.20208494, -0.3934071
0.32090285, 0.18717554, -0.39950502
0.33114737, 0.17668717, -0.3916997
0.31334144, 0.18937084, -0.39828545
0.30724353, 0.20306069, -0.4063652
0.3228542, 0.19107822, -0.40096852
0.35337427, 0.15790561, -0.4622526
0.38996175, 0.12909289, -0.526921
0.37971726, 0.14128874, -0.5518005
0.37093627, 0.18668772, -0.575247
0.36508226, 0.23159887, -0.5342385
0.3404467, 0.2648021, -0.5422877
0.33944052, 0.2542831, -0.55570316
0.30578002, 0.23355027, -0.5332628
0.28870586, 0.21672, -0.5325311
0.3143171, 0.16961354, -0.4920104
0.31041443, 0.13714215, -0.47347274
0.3011456, 0.12762941, -0.46639916
0.27696738, 0.1337273, -0.4109996
0.2201043, 0.1576617, -0.37682077
0.16689998, 0.18083376, -0.35242912
0.14470357, 0.19351743, -0.33727577
0.18132155, 0.20107886, -0.379016
0.22672056, 0.21818347, -0.37072283
0.2320867, 0.25525883, -0.3697472
0.23111105, 0.26358244, -0.4112435
0.22327523, 0.22525708, -0.4732288
0.21961649, 0.19327351, -0.55984974
0.21229897, 0.17644325, -0.5371655
0.1527528, 0.20257285, -0.5510687
0.13567863, 0.2323306, -0.54448295
0.1905904, 0.23525764, -0.48249763
0.28208962, 0.24208735, -0.46859443
0.31626844, 0.2586737, -0.4080726
0.29236463, 0.27163172, -0.37730858
0.2511122, 0.24086769, -0.4002368
0.21790905, 0.20525588, -0.41880494
0.20376189, 0.19693229, -0.41368267
0.22059216, 0.20623153, -0.3873092
0.22327523, 0.2276962, -0.403926
0.2113233, 0.24477036, -0.4358791
0.26672286, 0.21769564, -0.46615526
0.34752026, 0.16912572, -0.53960466
0.38410777, 0.15912516, -0.52399397
0.332123, 0.19693229, -0.4715214
0.30456045, 0.21598826, -0.4549046
0.33285478, 0.1996153, -0.4534411
0.38654694, 0.18937084, -0.45831943
0.37215585, 0.2015667, -0.41343874
0.32504946, 0.20745118, -0.41831708
0.32139072, 0.18815129, -0.43563515
0.35142294, 0.18717554, -0.3887727
0.37776592, 0.20010312, -0.33776364
0.3714241, 0.21842737, -0.30605444
0.3492277, 0.20989029, -0.34093451
0.32773253, 0.17278449, -0.41856104
0.30016994, 0.16936964, -0.45173368
0.3082192, 0.21354906, -0.4534411
0.33578178, 0.27480265, -0.40563342
0.3582526, 0.30724353, -0.436123
0.37898552, 0.2823641, -0.4729849
0.36752144, 0.22135441, -0.49274215
0.34752026, 0.16083255, -0.51006025
0.30065778, 0.11421402, -0.4673748
0.28333968, 0.09299325, -0.44685537
0.2628202, 0.11592139, -0.38974836
0.26208845, 0.19888356, -0.31507936
0.2982186, 0.29260856, -0.2513866
0.29943818, 0.33654407, -0.19330397
0.28038222, 0.30943882, -0.22842798
0.23013538, 0.23013541, -0.2538258
0.18034588, 0.16375957, -0.30922535
0.16202165, 0.1488807, -0.37950385
0.15787506, 0.20940247, -0.4314886
0.20424971, 0.31480497, -0.45002624
0.24794129, 0.38413826, -0.406853
0.30358478, 0.36532617, -0.44075742
0.33700135, 0.2713878, -0.46396002
0.3304156, 0.1752237, -0.49249825
0.3157806, 0.12640986, -0.499084
0.28699845, 0.14546585, -0.4683505
0.28233355, 0.21745174, -0.4109996
0.28870586, 0.29626733, -0.29995653
0.30919486, 0.34093457, -0.26675338
0.31041443, 0.32361647, -0.2789492
0.27989438, 0.27431482, -0.34901425
0.2684303, 0.21159777, -0.41490227
0.26208845, 0.16839398, -0.45441675
0.3065118, 0.17571153, -0.52350616
